3.600,6.000,5.600,4.755,974.000
3.600,7.000,5.200,4.537,824.000
3.600,7.000,5.600,4.271,796.000
4.000,5.200,5.600,4.707,1067.000
4.000,5.600,5.200,4.707,1071.000
4.000,5.600,5.600,4.421,1023.000
4.000,6.000,4.800,4.800,1101.000
4.000,6.000,5.200,4.457,1031.000
4.000,6.000,5.600,4.200,936.000
4.000,7.000,4.400,4.690,888.000
4.000,7.000,4.800,4.308,845.000
4.000,7.000,5.200,4.030,791.000
4.000,7.000,5.600,3.818,769.000
4.400,4.800,5.600,4.563,1106.000
4.400,5.200,5.200,4.516,1133.000
4.400,5.200,5.600,4.252,1079.000
4.400,5.600,4.800,4.563,1161.000
4.400,5.600,5.200,4.252,1081.000
4.400,5.600,5.600,4.017,969.000
4.400,6.000,4.400,4.714,1133.000
4.400,6.000,4.800,4.328,1064.000
4.400,6.000,5.200,4.047,976.000
4.400,6.000,5.600,3.834,940.000
4.400,7.000,4.000,4.690,1029.000
4.400,7.000,4.400,4.239,965.000
4.400,7.000,4.800,3.924,916.000
4.400,7.000,5.200,3.691,845.000
4.400,7.000,5.600,3.513,822.000
4.800,4.400,5.600,4.563,1105.000
4.800,4.800,5.200,4.457,1152.000
4.800,4.800,5.600,4.200,1035.000
4.800,5.200,4.800,4.457,1154.000
4.800,5.200,5.200,4.160,1058.000
4.800,5.200,5.600,3.935,1017.000
4.800,5.600,4.400,4.563,1182.000
4.800,5.600,4.800,4.200,1084.000
4.800,5.600,5.200,3.935,1018.000
4.800,5.600,5.600,3.733,915.000
4.800,6.000,4.000,4.800,1136.000
4.800,6.000,4.400,4.328,1063.000
4.800,6.000,4.800,4.000,1005.000
4.800,6.000,5.200,3.759,921.000
4.800,6.000,5.600,3.574,893.000
4.800,7.000,4.000,4.308,971.000
4.800,7.000,4.400,3.924,915.000
4.800,7.000,4.800,3.652,845.000
4.800,7.000,5.200,3.450,807.000
4.800,7.000,5.600,3.294,742.000
5.200,4.000,5.600,4.707,1123.000
5.200,4.400,5.200,4.516,1175.000
5.200,4.400,5.600,4.252,1118.000
5.200,4.800,4.800,4.457,1173.000
5.200,4.800,5.200,4.160,1075.000
5.200,4.800,5.600,3.935,1033.000
5.200,5.200,4.400,4.516,1172.000
5.200,5.200,4.800,4.160,1075.000
5.200,5.200,5.200,3.900,1010.000
5.200,5.200,5.600,3.702,908.000
5.200,5.600,4.000,4.707,1123.000
5.200,5.600,4.400,4.252,1049.000
5.200,5.600,4.800,3.935,992.000
5.200,5.600,5.200,3.702,908.000
5.200,5.600,5.600,3.523,881.000
5.200,6.000,4.000,4.457,1082.000
5.200,6.000,4.400,4.047,1005.000
5.200,6.000,4.800,3.759,934.000
5.200,6.000,5.200,3.545,887.000
5.200,6.000,5.600,3.381,806.000
5.200,7.000,3.600,4.537,860.000
5.200,7.000,4.000,4.030,814.000
5.200,7.000,4.400,3.691,774.000
5.200,7.000,4.800,3.450,745.000
5.200,7.000,5.200,3.269,728.000
5.200,7.000,5.600,3.129,687.000
5.600,4.000,5.200,4.707,1148.000
5.600,4.000,5.600,4.421,1095.000
5.600,4.400,4.800,4.563,1145.000
5.600,4.400,5.200,4.252,1067.000
5.600,4.400,5.600,4.017,960.000
5.600,4.800,4.400,4.563,1165.000
5.600,4.800,4.800,4.200,1070.000
5.600,4.800,5.200,3.935,1006.000
5.600,4.800,5.600,3.733,906.000
5.600,5.200,4.000,4.707,1139.000
5.600,5.200,4.400,4.252,1064.000
5.600,5.200,4.800,3.935,1005.000
5.600,5.200,5.200,3.702,920.000
5.600,5.200,5.600,3.523,892.000
5.600,5.600,4.000,4.421,1090.000
5.600,5.600,4.400,4.017,1011.000
5.600,5.600,4.800,3.733,939.000
5.600,5.600,5.200,3.523,892.000
5.600,5.600,5.600,3.360,809.000
5.600,6.000,3.600,4.755,1049.000
5.600,6.000,4.000,4.200,986.000
5.600,6.000,4.400,3.834,927.000
5.600,6.000,4.800,3.574,883.000
5.600,6.000,5.200,3.381,814.000
5.600,6.000,5.600,3.231,795.000
5.600,7.000,3.600,4.271,904.000
5.600,7.000,4.000,3.818,855.000
5.600,7.000,4.400,3.513,812.000
5.600,7.000,4.800,3.294,754.000
5.600,7.000,5.200,3.129,727.000
5.600,7.000,5.600,3.000,714.000
6.000,3.600,5.600,4.755,1071.000
6.000,4.000,4.800,4.800,1192.000
6.000,4.000,5.200,4.457,1113.000
6.000,4.000,5.600,4.200,1004.000
6.000,4.400,4.400,4.714,1208.000
6.000,4.400,4.800,4.328,1133.000
6.000,4.400,5.200,4.047,1035.000
6.000,4.400,5.600,3.834,996.000
6.000,4.800,4.000,4.800,1186.000
6.000,4.800,4.400,4.328,1109.000
6.000,4.800,4.800,4.000,1048.000
6.000,4.800,5.200,3.759,957.000
6.000,4.800,5.600,3.574,927.000
6.000,5.200,4.000,4.457,1110.000
6.000,5.200,4.400,4.047,1030.000
6.000,5.200,4.800,3.759,956.000
6.000,5.200,5.200,3.545,907.000
6.000,5.200,5.600,3.381,822.000
6.000,5.600,3.600,4.755,1061.000
6.000,5.600,4.000,4.200,998.000
6.000,5.600,4.400,3.834,938.000
6.000,5.600,4.800,3.574,893.000
6.000,5.600,5.200,3.381,822.000
6.000,5.600,5.600,3.231,802.000
6.000,6.000,3.600,4.500,1026.000
6.000,6.000,4.000,4.000,970.000
6.000,6.000,4.400,3.667,897.000
6.000,6.000,4.800,3.429,843.000
